제목, 언론사
[비디오머그] 호주 산불 지난 자리에 태어난 귀여운 코알라 이름은 '애쉬',SBS
"코알라 수백마리 호주 산불에 산채로 불탈 위기",연합뉴스
[비디오머그] 산불에 갇힌 코알라를 구해주세요,SBS
물 안 마시는 코알라… 목마르면 어떻게 할까?,세계일보언론사 선정
"우한폐렴 야생동물서 비롯…'메뉴판에 코알라' 식문화 바꿔야",연합뉴스언론사 선정
최악 산불 아직도 '진행형'…코알라 멸종 위기,MBC
불바다 갇힌 '느릿느릿' 코알라…"멸종될 수도",MBC
호주 산불에 고통받는 코알라들.. "멸종 위기",파이낸셜뉴스언론사 선정
[세계NOW] "호주 산불로 코알라 멸종위기 현재 상황은?",YTN언론사 선정
코알라 떼죽음…호주 산불로 350마리 사망추산,노컷뉴스
화마에서 구출된 코알라를 생각하며,연합뉴스
“코알라 산 채로?” 혐오 조장하는 ‘신종 코로나 가짜뉴스’ 총정리,한겨레언론사 선정
호주 산불 잿더미서 울려퍼진 첫 울음소리···코알라였다,중앙일보
호주 산불에 코알라 '기능적 멸종' 직면…서식지 80% 불타,연합뉴스
호주산불로 코알라 서서히 줄어든다,환경미디어
‘서머타임’과 ‘코알라 사망률’이 대체 뭔 상관?,KBS언론사 선정
러쉬 코알라 비누 ‘올 더 와일드 띵스’ 출시,파이낸셜뉴스
호주 산불로 코알라 등 동물 113종 '긴급 도움' 절실,연합뉴스
호주 산불 현장서 극적 구조된 코알라 ‘루이스’ 결국 안락사,서울신문
안현모 호주 산불 피해 기부 독려..."코알라 기능적 멸종 상태",매일경제
호주산불에 멸종위기 코알라 이번엔 대규모 벌목에 학살,연합뉴스
[여기는 호주] 산불로 잿더미서 구조된 코알라 가족 6개월 만에 집으로,서울신문
[영상] 코알라야 캥거루야 웜뱃아 모두 살아있어줘!,연합뉴스언론사 선정
[Pick] 고사리손으로 일궈낸 기부…6살 소년이 '점토 코알라' 만드는 이유,SBS언론사 선정
[씨줄날줄] 이상기온과 코알라/전경하 논설위원,서울신문
[포토스토리] 호주 코알라 살리기 안간힘,뉴스핌
호주 코알라 ‘성병’ 걸려 멸종 위기… 불임·사망 위험,국민일보
[마감을 하며] 코알라의 죽음,주간조선
[스브스뉴스] 호주 산불에서 구조된 코알라들을 직접 입양하는 방법이 있다?,SBS언론사 선정
초대형 산불서 구조된 코알라 8개월 만에 무지개다리 건넜다···"전멸 가능...,인사이트
"물 좀 먹고 갈게".. 목마른 코알라 친구와 물 나눠먹는 강아지 [영상],파이낸셜뉴스언론사 선정
[Pick] "이제 다 나았어요"…호주 산불 피해 코알라 다시 자연의 품으로,SBS
코끼리·코알라 떼죽음···범인은 가뭄·산불 [동물의 소리(VoA)],경향신문언론사 선정
[영상] '세로'운 뉴스 - 가족 잃은 코알라를 입양해주세요~,뉴스핌
샘 해밍턴 호주 산불에 갇힌 '코알라' 영상에 "눈물 난다",한국경제TV
불 탄 캥거루·화상 입은 코알라… 호주 산불에 희생된 참혹한 사진들,조선일보언론사 선정
[영상] 최악의 호주 산불...신음하는 코알라·캥거루,YTN언론사 선정
호주 산불로 야생동물 5억 마리 죽었다.. '코알라' 피해는?,파이낸셜뉴스
호주 코알라 서식지에 산불…나무에 오른 수백마리 몰살 위험,뉴스1
박사 조주빈·갓갓 문형욱 뺨치는 성착취범 ‘코알라’ 추적기,일요신문
타 죽은 캥거루 뛰지 못하는 코알라…'불지옥' 된 호주,UPI뉴스
[환경뉴스] 그을린 코알라 미리 본 야생동물의 '기후 종말’,한겨레
도망치기엔 너무 느려...호주 산불로 코알라 멸종 위기,YTN사이언스
뱀·쥐부터 코알라까지… 中 우한 화난시장서 신종 코로나 대거 검출,한국경제TV
“박쥐 바이러스가 코알라까지 위협…면역력 파괴” (연구),서울신문
`호주 최악의 산불` 이후 처음 태어난 아기코알라,노트펫
[여기는 호주] 산불에 타 죽은 친구 옆에 머리를 묻고 우는 코알라,서울신문
'코알라를 살려주세요',연합뉴스
코알라와 캥거루를 위한 뜨개질 지금 벙어리 장갑과 파우치를 만들어야 하는...,엘르
호주 코알라 “잠깐! 물 좀 얻어먹읍시다”,어린이동아
아프리카티비(TV) BJ에디린 코알라 인형과 꼭 닮은 귀여운 비주얼 '귀염뽀짝...,뉴스컬처
호주 뉴사우스웨일스 산불로 코알라 최대 30% 사망,뉴시스
[이슈톡] 도로에 나와 고인 빗물 핥아 먹는 코알라,MBC
'슈돌' 윌벤져스 코알라→캥거루 호주 동물들과 특별한 만남,스포츠서울
호주 산불 4개월째…코알라·캥거루 등 야생동물 '멸종 위기',아시아경제언론사 선정
[여적]코알라,경향신문
[Behind&] 화염 속 죽어간 캥거루ㆍ코알라… 호주 산불의 비극,한국일보언론사 선정
[경인포토]자라섬에 캥거루 코알라 토피어리 설치,경인일보
산불현장서 구조된 코알라 결국 안락사 왜?,머니투데이
산불로 불에 탄 코알라 극적 구조…병원서 치료중,아시아경제
[포착] 빨래 바구니 이불 꼬옥 껴안은 호주 코알라,국민일보
[카드뉴스] 호주 코알라를 덮친 기후종말의 미래,한겨레언론사 선정
[호주 산불로 야생동물 5억 마리 죽어 코알라 서식지 80% 잿더미] - 월드미션...,CTS
호주 기록적인 산불에 코알라 개체수 3분의 1 줄어,파이낸셜뉴스
